id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
970253956811711528,Bright&Modern Studio in Boston’s Fenway Area #302,22348222,Maverick,Fenway,42.34105205432993,-71.09383555030999,Entire home/apt,113.0,1,38,2.14,87,156
970254183341401847,"Fenway, Berklee College & Shopping Nearby, #303",22348222,Maverick,Fenway,42.34138,-71.0954,Entire home/apt,112.0,1,17,1.05,87,131
970254250921550781,"Prime Location by Berklee College & Fenway, #304",22348222,Maverick,Fenway,42.34159093155845,-71.09413088507534,Entire home/apt,116.0,1,79,4.5,87,118
970254385841933801,"Fenway, Berklee College & Newbury St Just Minutes",22348222,Maverick,Fenway,42.34141,-71.09514,Entire home/apt,115.0,1,29,1.67,87,137
970254498756780127,"Walk to Fenway, Berklee & Iconic Boston Spots, #30",22348222,Maverick,Fenway,42.341708921510254,-71.09485568035703,Entire home/apt,130.0,1,22,1.25,87,169
970254959601719331,"Steps from Fenway Park, Berklee & Newbury, #401",22348222,Maverick,Fenway,42.34659,-71.0892,Entire home/apt,147.0,1,57,3.23,87,107
970255334813267456,"Fenway Park & Berklee College Just Steps Away, #40",22348222,Maverick,Fenway,42.34127,-71.09568,Entire home/apt,107.0,1,13,0.74,87,163
970255424387491666,"Ideal Location by Fenway, Berklee & Shopping, #404",22348222,Maverick,Fenway,42.341197037275165,-71.09558064362376,Entire home/apt,87.0,1,20,1.13,87,136
970255487139401897,"Live by Fenway Park & Berklee College, #405",22348222,Maverick,Fenway,42.33941039268015,-71.09387939893679,Entire home/apt,154.0,1,27,1.63,87,183
970255523886035851,"Fenway, Berklee & Newbury St at Your Door, #406",22348222,Maverick,Fenway,42.339688701361496,-71.09537347149856,Entire home/apt,112.0,1,23,1.3,87,156
970256334776552942,Stay in the Heart of Fenway & Berklee,22348222,Maverick,Fenway,42.34681494729365,-71.09053291074052,Entire home/apt,169.0,1,364,20.53,87,196
970256340308687936,"Stay Near Berklee College, Fenway & Newbury, #402",22348222,Maverick,Fenway,42.34167,-71.09485,Entire home/apt,97.0,1,36,2.06,87,122
970696545528120358,Simple Room walking to Airport T,1407005,Izzy,East Boston,42.37654878429381,-71.03550695040252,Private room,77.0,1,105,5.67,3,13
970923638522576532,Lux 1BR w/ Amenities Seaport,20857768,Compass,South Boston Waterfront,42.3527606,-71.04651439999999,Entire home/apt,212.0,29,2,0.13,16,268
971011953545272594,Hope of peace and tranquility,531150506,Benedicta,Hyde Park,42.25454,-71.12881,Private room,108.0,1,14,0.87,2,270
971057412842554983,Welcome to our home,531150506,Benedicta,Hyde Park,42.25270580135568,-71.13017378762174,Private room,105.0,1,3,0.41,2,269
971237837731938987,Newly Renovated Roxbury Tower,21554910,Philipp,Roxbury,42.32048,-71.07729,Entire home/apt,105.0,2,72,3.86,2,249
971915036153685900,Queen Bedroom in Single Family House,526738308,Xianming,West Roxbury,42.285,-71.16668,Private room,111.0,1,17,0.93,6,147
972007269429580957,King bedroom in Single Family House,526738308,Xianming,West Roxbury,42.28339904710423,-71.1666361748383,Private room,158.0,1,8,0.44,6,103
972308791314572742,Quaint South Boston Prívate Bedroom,23035099,Kristine,South Boston,42.33450819947381,-71.03307066207185,Private room,58.0,29,1,0.24,4,269
972382373389698405,Spacious Boston APT w/ parking spot!,56415582,Jessica,Dorchester,42.3189351,-71.0646094,Entire home/apt,203.0,2,0,0.0,1,220
