id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
859566125486151685,Location+Comfort+Convenience!,2236975,Jonatas,,East Boston,42.36971097877554,-71.04019015026245,Entire home/apt,276,2,43,2025-03-02,1.99,1,177,21,STR-524764
859692631321104617,Single Family with comfort plus location.,507996585,Safiya,,Roxbury,42.3263693,-71.0918622,Entire home/apt,250,29,2,2025-01-01,0.50,1,272,2,
860163719347640584,Mystic River House,206544913,Nicole,,Charlestown,42.37930140632935,-71.06538013831026,Entire home/apt,700,29,1,2023-07-19,0.05,1,88,0,STR-525162
861596117565785721,Lovely 3 bedroom 2 bath “6 miles from downtown”,227889113,Lee,,Dorchester,42.283682954683336,-71.07296703274152,Entire home/apt,405,1,37,2024-11-24,1.60,7,352,13,STR-522922
861745537838627043,Heart of Southie - Hot Tub + Walk to Top Bars,487591231,Alexander,,South Boston,42.3349257,-71.0449714,Entire home/apt,617,2,68,2025-02-23,3.19,1,311,35,STR-401897
861788821813334017,"Roslindale Condo,W/D in unit,2 BDR,Free Parking",144344613,Gerald,,Roslindale,42.2786954,-71.11786239999999,Entire home/apt,225,3,41,2024-12-04,1.89,1,151,17,STR-522292
862441882772498141,Boston Getaway,3263797,Keren,,Dorchester,42.31914890858806,-71.0543593840498,Entire home/apt,158,29,1,2023-05-05,0.04,1,0,0,STR-524924
863764018590884065,Spacious 2BR near UMASS | Savin hill | T Stop 6546,212359760,Mohammed Radi,,Dorchester,42.30945530884786,-71.05278630616118,Entire home/apt,186,1,88,2025-02-06,3.76,165,0,33,STR-520842
863764278641845127,Spacious 2BR near UMASS | Savin hill | T Stop 2464,212359760,Mohammed Radi,,Dorchester,42.311429786306036,-71.05275229990548,Entire home/apt,132,1,79,2025-02-04,3.35,165,333,37,STR-520842
863829091185949070,"Room Available, Jamaica Plain, Roomate + 2 Cats!",508875857,Andrew,,Jamaica Plain,42.30589,-71.10483,Private room,,29,3,2023-09-02,0.14,1,0,0,STR-415715
864021933298523984,Cozy room space,227889113,Lee,,Dorchester,42.28307,-71.07269,Private room,630,1,0,,,7,365,0,STR-522922
864290529050408845,Stylish and Spacious 2-Bedroom Plus Office,508953862,Jon,,Dorchester,42.28877,-71.05672,Entire home/apt,,2,45,2024-11-10,2.00,1,0,17,STR-544911
865064682512161383,Amazing family & group-friendly accommodation,310662379,Ulrich,,Dorchester,42.30792251715304,-71.06957950762751,Entire home/apt,237,2,65,2025-02-23,2.81,3,31,27,STR-521194
865211677070580709,"Suite Boston, With Private Bath",31035862,Roger Michael,,Dorchester,42.292908,-71.0629855,Private room,65,1,192,2025-03-08,8.25,3,20,97,STR-482961
865457912919196504,Large Private Room (Lily) in a House,133457702,Selim,,Jamaica Plain,42.32263152894531,-71.10684266497502,Private room,,29,7,2023-10-23,0.31,10,0,0,STR-552508
865491574396499608,Daisy (Sunny Room) in JP House,133457702,Selim,,Jamaica Plain,42.32426,-71.10649,Private room,,1,18,2024-11-02,0.77,10,0,11,STR-552508
865495431683606764,Private Room (Violet) in a House,133457702,Selim,,Jamaica Plain,42.32406084251169,-71.10620076790872,Private room,115,2,9,2024-08-12,0.42,10,64,4,STR-552508
865503096848277888,Private Room (Iris) in a House,133457702,Selim,,Jamaica Plain,42.322831882394354,-71.10689356332537,Private room,140,29,9,2025-02-16,0.39,10,71,2,STR-550313
865785974116979767,Stylish Room in South End + Private Patio,36465884,Gates,,South End,42.34111233139622,-71.07471588434498,Private room,70,30,10,2025-02-15,0.48,1,126,6,
866575005037773478,Cozy Central Fenway Studio,275849638,Sean,,Fenway,42.34081347370269,-71.1012587845715,Entire home/apt,345,1,0,,,70,244,0,STR-519403
866647856795580011,Lovely Brighton Apartment!,77086857,Youcef,,Brighton,42.346290889505525,-71.13905865887527,Entire home/apt,185,91,0,,,1,364,0,
